,y,z,x,t,deviation,target_idx,y_d,z_d,x_d,t_d,c,color,deviationc,Ziehtiefe,part,tp,dx,dy,dz,nx,ny,nz
0,-94.86425,0.0,0.0,0.0,0.0,0,-94.86425,0.75,0.0,0.0,-1.0,r,-0.0,50,lu,0.0,0.0,0.28325568198893336,3.3306690738754696e-16,0.0,-1.1758525197053582e-15,1.0
1,-94.58099431801107,3.3306690738754696e-16,0.0,0.001001001001001001,0.0002549556093498495,10,-94.58124927362041,0.7500000000000002,0.0,0.001000100010001,-1.0,r,-0.0002549556093498495,50,lu,0.004807692307692308,0.0,0.28325568198892626,1.6653345369377348e-16,0.0,-5.879262598526939e-16,1.0
2,-94.29773863602215,3.3306690738754696e-16,0.0,0.002002002002002002,0.0005099112187139099,20,-94.29824854724086,0.7500000000000004,0.0,0.002000200020002,1.0,r,0.0005099112187139099,50,lu,0.009615384615384616,0.0,0.28325568198891915,1.1102230246251565e-16,0.0,-3.9195083990180574e-16,1.0
3,-94.01448295403323,5.551115123125783e-16,0.0,0.003003003003003003,0.0007648668280637594,30,-94.01524782086129,0.7500000000000004,0.0,0.0030003000300030005,-1.0,r,-0.0007648668280637594,50,lu,0.014423076923076924,0.0,0.28325568198891915,5.551115123125783e-17,0.0,-1.9597541995090287e-16,1.0
4,-93.73122727204431,4.440892098500626e-16,0.0,0.004004004004004004,0.0010198224374278198,40,-93.73224709448174,0.7500000000000006,0.0,0.004000400040004,1.0,r,0.0010198224374278198,50,lu,0.019230769230769232,0.0,0.28325568198892626,-5.551115123125783e-17,-0.0,1.9597541995089796e-16,1.0
5,-93.44797159005537,4.440892098500626e-16,0.0,0.005005005005005005,0.0012747780467776693,50,-93.44924636810215,0.7500000000000006,0.0,0.005000500050005001,1.0,r,0.0012747780467776693,50,lu,0.02403846153846154,0.0,0.28325568198891204,-5.551115123125783e-17,-0.0,1.959754199509078e-16,1.0
6,-93.16471590806648,3.3306690738754696e-16,0.0,0.006006006006006006,0.0015297336560848862,60,-93.16624564172257,0.7500000000000006,0.0,0.006000600060006001,1.0,r,0.0015297336560848862,50,lu,0.028846153846153848,0.0,0.28325568198891204,0.0,0.0,0.0,1.0
7,-92.88146022607755,4.440892098500626e-16,0.0,0.007007007007007007,0.0017846892654347357,70,-92.88324491534298,0.7500000000000002,0.0,0.0070007000700070005,-1.0,r,-0.0017846892654347357,50,lu,0.03365384615384615,0.0,0.28325568198892626,-1.1102230246251565e-16,-0.0,3.919508399017959e-16,1.0
8,-92.59820454408863,1.1102230246251565e-16,0.0,0.008008008008008008,0.002039644874798796,80,-92.60024418896343,0.7500000000000001,0.0,0.008000800080008,-1.0,r,-0.002039644874798796,50,lu,0.038461538461538464,0.0,0.28325568198893336,-2.7755575615628914e-16,-0.0,9.798770997544653e-16,1.0
9,-92.31494886209968,-1.1102230246251565e-16,0.0,0.009009009009009009,0.0022946004841628564,90,-92.31724346258385,0.75,0.0,0.009000900090009001,1.0,r,0.0022946004841628564,50,lu,0.04326923076923077,0.0,0.28325568198892626,-5.551115123125783e-17,-0.0,1.9597541995089796e-16,1.0
